ID;Название;Цена (руб);Дата;Ссылка
i3734375866;Nikon D3200 kit 18-55mm (и аренда);13 000;25-09-2024;https://www.avito.ru//simferopol/fototehnika/nikon_d3200_kit_18-55mm_i_arenda_3734375866
i3701982179;Зеркальный фотоаппарат canon eos 1100d;15 000;11-09-2024;https://www.avito.ru//simferopol/fototehnika/zerkalnyy_fotoapparat_canon_eos_1100d_3701982179
i3366810806;Зеркальный фотоаппарат nikon d3200 body тушка;13 000;18-09-2024;https://www.avito.ru//simferopol/fototehnika/zerkalnyy_fotoapparat_nikon_d3200_body_tushka_3366810806
i4289501167;Фотоаппарат Canon 10710 кадров;13 500;25-09-2024;https://www.avito.ru//simferopol/fototehnika/fotoapparat_canon_10710_kadrov_4289501167
i2170431606;Фотоаппарат Sony Cyber-shot DSC-H300;5 500;11-09-2024;https://www.avito.ru//simferopol/fototehnika/fotoapparat_sony_cyber-shot_dsc-h300_2170431606
i907653951;Продам sony альфа200;7 500;25-09-2024;https://www.avito.ru//simferopol/fototehnika/prodam_sony_alfa200_907653951
i3518561970;Canon EOS 400D;15 000;25-09-2024;https://www.avito.ru//simferopol/fototehnika/canon_eos_400d_3518561970
i4529527444;Фотоаппарат Canon eos 500d;15 000;18-09-2024;https://www.avito.ru//simferopol/fototehnika/fotoapparat_canon_eos_500d_4529527444
i4149854984;Canon 1100D kit 18-55 пробег 13т (и аренда);10 000;26-09-2024;https://www.avito.ru//simferopol/fototehnika/canon_1100d_kit_18-55_probeg_13t_i_arenda_4149854984
i3964821574;Фотоаппарат nikon d90;6 000;18-09-2024;https://www.avito.ru//simferopol/fototehnika/fotoapparat_nikon_d90_3964821574
i3984686023;Зеркальный фотоаппарат nikon coolpix p530;10 000;11-09-2024;https://www.avito.ru//simferopol/fototehnika/zerkalnyy_fotoapparat_nikon_coolpix_p530_3984686023
i4075862916;Фотоаппарат Canon eos 400d digital;10 500;03-09-2024;https://www.avito.ru//simferopol/fototehnika/fotoapparat_canon_eos_400d_digital_4075862916
i2486206073;Canon 40D body (пр. 95т)и 50D(пр65т);5 000;25-09-2024;https://www.avito.ru//simferopol/fototehnika/canon_40d_body_pr._95ti_50dpr65t_2486206073
i4176979665;Фотоаппарат 12 Instar mini;8 499;25-09-2024;https://www.avito.ru//simferopol/fototehnika/fotoapparat_12_instar_mini_4176979665
